Squad_Name,Name,DOB,Bat_Style,Bowl_Style,Role
India Squad,KL Rahul,"April 18, 1992, Bangalore, Karnataka",Right hand Bat,,Opening Batter
Sri Lanka Squad,Koralegedera Nadeeja Ashen Bandara,"November 23, 1998, Galle",Right hand Bat,Legbreak,Middle order Batter
Sri Lanka Squad,Kusal Mendis,"February 02, 1995, Moratuwa",Right hand Bat,Legbreak,Wicketkeeper Batter
West Indies Squad,Kyle Mayers,"September 08, 1992, Barbados",Left hand Bat,Right arm Medium,Batting Allrounder
Sri Lanka Squad,Lahiru Kumara,"February 13, 1997, Kandy",Left hand Bat,Right arm Fast,Bowler
England Squad,Liam Livingstone,"August 04, 1993, Barrow-in-Furness, Cumberland",Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Bangladesh Squad,Litton Das,"October 13, 1994, Dinajpur",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
New Zealand Squad,Lockie Ferguson,"June 13, 1991, Auckland",Right hand Bat,Right arm Fast,Bowler
Netherlands Squad,Logan van Beek,"September 07, 1990, Christchurch, Canterbury",Right hand Bat,Right arm Medium fast,Bowler
Namibia Squad,Lo-handre Louwrens,"April 24, 1999, Keetmanshoop",Right hand Bat,,Wicketkeeper Batter
Sri Lanka Squad,Lokumarakkalage Dilshan Madushanka,"September 18, 2000, Hambantota",Right hand Bat,Left arm Medium fast,Bowler
Ireland squad,Lorcan Tucker,"September 10, 1996, Dublin",Right hand Bat,,Wicketkeeper Batter
Zimbabwe squad,Luke Jongwe,"February 06, 1995, Harare",Right hand Bat,Right arm Fast medium,Bowler
South Africa Squad,Lungi Ngidi,"March 29, 1996, Durban, Natal",Right hand Bat,Right arm Fast medium,Bowler
Sri Lanka Squad,Maheesh Theekshana,"August 01, 2000, Colombo",Right hand Bat,Right arm Offbreak,Bowler
Australia Squad,Marcus Stoinis,"August 16, 1989, Perth",Right hand Bat,Right arm Medium,Batting Allrounder
Ireland squad,Mark Adair,"March 27, 1996, Holywood, Northern Ireland",Right hand Bat,Right arm Fast medium,Bowling Allrounder
England Squad,Mark Wood,"January 11, 1990, Ashington, Northumberland",Right hand Bat,Right arm Fast,Bowler
Scotland squad,Mark Watt,"July 29, 1996, Eastern General Hospital, Edinburgh",Left hand Bat,Slow Left arm Orthodox,Bowler
New Zealand Squad,Mark Sinclair Chapman,"June 27, 1994, Hong Kong",Left hand Bat,Slow Left arm Orthodox,Allrounder
New Zealand Squad,Martin Guptill,"September 30, 1986, Auckland",Right hand Bat,Right arm Offbreak,Opening Batter
Scotland squad,Matthew Cross,"October 15, 1992, Aberdeen",Right hand Bat,,Wicketkeeper Batter
Australia Squad,Matthew Wade,"December 26, 1987, Hobart, Tasmania",Left hand Bat,Right arm Medium,Wicketkeeper Batter
Netherlands Squad,Max O'Dowd,"March 04, 1994, Auckland",Right hand Bat,Right arm Offbreak,Opening Batter
Bangladesh Squad,Mehidy Hasan Miraz,"October 25, 1997, Khulna",Right hand Bat,Right arm Offbreak,Allrounder
New Zealand Squad,Michael Gordon Bracewell,"February 14, 1991, Masterton, Wairarapa",Left hand Bat,Right arm Offbreak,Batting Allrounder
Scotland squad,Michael Jones,"January 05, 1998, Ormskirk, Lancashire",Right hand Bat,Right arm Offbreak,Top order Batter
Scotland squad,Michael Leask,"October 29, 1990, Aberdeen",Right hand Bat,Right arm Offbreak,Allrounder
Namibia Squad,Michael van Lingen,24-Oct-97,Left hand Bat,Left arm Medium,Bowling Allrounder
Zimbabwe squad,Milton Shumba,"October 19, 2000, Chitungwiza",Left hand Bat,Slow Left arm Orthodox,Top order Batter
Australia Squad,Mitchell Marsh,"October 20, 1991, Attadale, Perth",Right hand Bat,Right arm Medium,Allrounder
New Zealand Squad,Mitchell Santner,"February 05, 1992, Hamilton",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Australia Squad,Mitchell Starc,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",Left hand Bat,Left arm Fast,Bowler
England Squad,Moeen Ali,"June 18, 1987, Birmingham",Left hand Bat,Right arm Offbreak,Batting Allrounder
Pakistan Squad,Mohammad Haris,"March 30, 2001, Peshawar",Right hand Bat,Right arm Offbreak,Middle order Batter
Pakistan Squad,Mohammad Hasnain,"April 05, 2000, Hyderabad",Right hand Bat,Right arm Fast,Bowler
Afghanistan Squad,Mohammad Nabi,"January 01, 1985, Loger, Afghanistan",Right hand Bat,Right arm Offbreak,Allrounder
Pakistan Squad,Mohammad Nawaz,"March 21, 1994, Rawalpindi, Punjab",Left hand Bat,Slow Left arm Orthodox,Allrounder
Pakistan Squad,Mohammad Rizwan,"June 01, 1992, Peshawar, Khyber Pakhtunkhwa",Right hand Bat,,Wicketkeeper Batter
Afghanistan Squad,Mohammad Saleem Safi,"September 09, 2002, Baghlan",Right hand Bat,Right arm Fast,Bowler
Bangladesh Squad,Shoriful Islam,"June 03, 2001, Panchagor",Left hand Bat,Left arm Medium fast,Bowler
Pakistan Squad,Mohammad Wasim,"August 25, 2001, North Wazirastan",Right hand Bat,Right arm Fast medium,Allrounder
India Squad,Mohammed Shami,"September 03, 1990, Amroha, Uttar Pradesh",Right hand Bat,Right arm Fast,Bowler
Bangladesh Squad,Mosaddek Hossain,"December 10, 1995, Mymensingh",Right hand Bat,Right arm Offbreak,Middle order Batter
United Arab Emirates Squad,Muhammad Waseem,12-Feb-94,Right hand Bat,Right arm Medium,Opening Batter
Afghanistan Squad,Mujeeb Ur Rahman,"March 28, 2001, Khost",Right hand Bat,Right arm Offbreak,Bowler
Bangladesh Squad,Mustafizur Rahman,"September 06, 1995, Satkhira",Left hand Bat,Left arm Fast medium,Bowler
Afghanistan Squad,Najibullah Zadran,"February 28, 1993, Logar",Left hand Bat,Right arm Offbreak,Middle order Batter
Bangladesh Squad,Najmul Hossain Shanto,"August 25, 1998, Rajshahi",Left hand Bat,Right arm Offbreak,Top order Batter
Pakistan Squad,Naseem Shah,15-Feb-03,Right hand Bat,Right arm Fast,Bowler
Bangladesh Squad,Nasum Ahmed,5-Dec-94,Left hand Bat,Slow Left arm Orthodox,Bowler
Afghanistan Squad,Naveen-ul-Haq,"September 23, 1999, Kabul",Right hand Bat,Right arm Medium fast,Bowler
West Indies Squad,Nicholas Pooran,"October 02, 1995, Trinidad",Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Bangladesh Squad,Nurul Hasan,"November 21, 1993, Khulna",Right hand Bat,,Wicketkeeper Batter
West Indies Squad,Obed McCoy,4-Jan-97,Left hand Bat,Left arm Fast medium,Bowler
West Indies Squad,Odean Smith,"November 01, 1996, St. Elizabeth, Jamaica",Right hand Bat,Right arm Fast medium,Bowling Allrounder
Australia Squad,Pat Cummins,"May 08, 1993, Westmead, Sydney",Right hand Bat,Right arm Fast,Bowler
Sri Lanka Squad,Pathum Nissanka,"May 18, 1998, Galle",Right hand Bat,,Top order Batter
Ireland squad,Paul Stirling,"September 03, 1990, Belfast",Right hand Bat,Right arm Offbreak,Batting Allrounder
Netherlands Squad,Paul van Meekeren,"January 15, 1993, Amsterdam, Netherlands",Right hand Bat,Right arm Fast medium,Bowler
England Squad,Phil Salt,"August 28, 1996, Bodelwyddan, North Wales",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Sri Lanka Squad,Pramod Madushan,14-Dec-93,Right hand Bat,Right arm Medium Fast,Bowler
Afghanistan Squad,Qais Ahmad Kamawal,"August 15, 2000, Nangarhar",Right hand Bat,Legbreak,Bowler
South Africa Squad,Quinton de Kock,"December 17, 1992, Johannesburg, Gauteng",Left hand Bat,,Wicketkeeper Batter
Afghanistan Squad,Rahmanullah Gurbaz,28-Nov-01,Right hand Bat,,Wicketkeeper Batter
Afghanistan Squad,Rashid Khan,"September 20, 1998, Nangarhar",Right hand Bat,Legbreak Googly,Bowling Allrounder
India Squad,Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",Right hand Bat,Right arm Offbreak,Bowling Allrounder
West Indies Squad,Raymon Anton Reifer,"May 11, 1991, Archer's Road, St. Lucy, Barbados",Left hand Bat,Left arm Medium fast,Allrounder
England Squad,Reece James William Topley,"February 21, 1994, Ipswich, Suffolk",Right hand Bat,Left arm Fast medium,Bowler
South Africa Squad,Reeza Raphael Hendricks,"August 14, 1989, Kimberley, Cape Province",Right hand Bat,Right arm Offbreak,Opening Batter
Zimbabwe squad,Regis Chakabva,"September 20, 1987, Harare",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Zimbabwe squad,Richard Ngarava,"December 28, 1997, Harare",Left hand Bat,Left arm Fast medium,Bowler
Scotland squad,Richie Berrington,"April 03, 1987, Pretoria, South Africa",Right hand Bat,Right arm Medium fast,Top order Batter
South Africa Squad,Rilee Rossouw,"October 09, 1989, Bloemfontein, Orange Free State",Left hand Bat,Right arm Offbreak,Top order Batter
India Squad,Rishabh Pant,"October 04, 1997, Haridwar, Uttarakhand",Left hand Bat,,Wicketkeeper Batter
Netherlands Squad,Roelof van der Merwe,"December 31, 1984, Johannesburg, Transvaal",Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
India Squad,Rohit Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",Right hand Bat,Right arm Offbreak,Top order Batter
West Indies Squad,Rovman Powell,"July 23, 1993, Jamaica",Right hand Bat,Right arm Medium fast,Middle order Batter
Namibia Squad,Ruben Trumpelmann,"February 01, 1998, Durban",Right hand Bat,Left arm Fast,Bowler
Zimbabwe squad,Ryan Burl,"April 15, 1994, Marondera",Left hand Bat,Legbreak,Middle order Batter
United Arab Emirates Squad,Sabir Ali,11-Jul-91,Right hand Bat,Left arm Fast medium,Bowler
Scotland squad,Safyaan Sharif,"May 24, 1991, Huddersfield, Yorkshire",Right hand Bat,Right arm Medium fast,Bowler
England Squad,Sam Curran,"June 03, 1998, Northampton",Left hand Bat,Left arm Medium fast,Allrounder
Netherlands Squad,Scott Edwards,"August 23, 1996, Tonga",Right hand Bat,,Wicketkeeper Batter
Zimbabwe squad,Sean Williams,"September 26, 1986, Bulawayo",Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Pakistan Squad,Shadab Khan,"October 04, 1998, Mianwali",Right hand Bat,Legbreak,Allrounder
Pakistan Squad,Shaheen Shah Afridi,"April 06, 2000, Khyber Agency",Left hand Bat,Left arm Fast,Bowler
Bangladesh Squad,Shakib Al Hasan,"March 24, 1987, Magura, Jessore",Left hand Bat,Slow Left arm Orthodox,Allrounder
West Indies Squad,Shamarh Brooks,"October 01, 1988, St. Michael, Barbados",Right hand Bat,Legbreak,Top order Batter
Pakistan Squad,Shan Masood,"October 14, 1989, Kuwait",Left hand Bat,Right arm Medium fast,Opening Batter
Netherlands Squad,Shariz Ahmad,21-Apr-03,Left hand Bat,Legbreak Googly,Bowler
West Indies Squad,Sheldon Shane Cottrell,"August 19, 1989, Jamaica",Right hand Bat,Left arm Fast medium,Bowler
West Indies Squad,Shimron Odilon Hetmyer,"December 26, 1996, Cumberland, Berbice, Guyana",Left hand Bat,,Top order Batter
Zimbabwe squad,Sikandar Raza,"April 24, 1986, Sialkot, Punjab, Pakistan",Right hand Bat,Right arm Offbreak,Batting Allrounder
Ireland squad,Simi Singh,"February 04, 1987, Bathlana, Punjab, India",Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Bangladesh Squad,Soumya Sarkar,"February 25, 1993, Satkhira",Left hand Bat,Right arm Medium fast,Middle order Batter
Namibia Squad,Stephan Baard,"April 29, 1992, Namibia",Right hand Bat,Right arm Medium fast,Batter
Netherlands Squad,Stephan Myburgh,"February 28, 1984, Pretoria, Transvaal",Left hand Bat,Right arm Offbreak,Opening Batter
Ireland squad,Stephen Thomas Doheny,20-Aug-98,Right hand Bat,,Opening Batter
Australia Squad,Steven Smith,"June 02, 1989, Sydney, New South Wales",Right hand Bat,Legbreak Googly,Middle order Batter
India Squad,Suryakumar Yadav,"September 14, 1990, Mumbai, Maharashtra",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
South Africa Squad,Tabraiz Shamsi,"February 18, 1990, Johannesburg, Gauteng",Right hand Bat,Left arm Wrist spin,Bowler
Namibia Squad,Tangeni Lungameni,17-Apr-92,Right hand Bat,Left arm Medium,Bowler
Bangladesh Squad,Taskin Ahmed,"April 03, 1995, Dhaka",Left hand Bat,Right arm Fast,Bowler
South Africa Squad,Temba Bavuma,"May 17, 1990, Cape Town, Cape Province",Right hand Bat,Right arm Medium,Middle order Batter
Zimbabwe squad,Tendai Chatara,"February 28, 1991, Chimanimani",Right hand Bat,Right arm Fast medium,Bowler
Australia Squad,Tim David,"March 16, 1996, Singapore",Right hand Bat,Right arm Offbreak,Middle order Batter
Netherlands Squad,Tim Pringle,"August 29, 2002, The Hague",Right hand Bat,Slow Left arm Orthodox,Allrounder
New Zealand Squad,Tim Southee,"December 11, 1988, Whangarei, Northland",Right hand Bat,Right arm Medium fast,Bowler
Netherlands Squad,Timm van der Gugten,"February 25, 1991, Hornsby, Upper North Shore, Sydney",Right hand Bat,Right arm Fast medium,Bowler
Netherlands Squad,Tom Cooper,"November 26, 1986, Wollongong, New South Wales",Right hand Bat,Right arm Offbreak,Middle order Batter
Zimbabwe squad,Tony Munyonga,"January 31, 1999, Chitungwiza",Right hand Bat,Right arm Offbreak,Allrounder
New Zealand Squad,Trent Boult,"July 22, 1989, Rotorua",Right hand Bat,Left arm Fast medium,Bowler
South Africa Squad,Tristan Stubbs,14-Aug-00,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
England Squad,Tymal Solomon Mills,"August 12, 1992, Dewsbury, Yorkshire",Right hand Bat,Left arm Fast,Bowler
Afghanistan Squad,Usman Ghani,20-Nov-96,Right hand Bat,,Opening Batter
Netherlands Squad,Vikramjit Singh,"January 09, 2003, Cheema Khurd, Punjab",Left hand Bat,Right arm Medium fast,Opening Batter
India Squad,Virat Kohli,"November 05, 1988, Delhi",Right hand Bat,Right arm Medium,Top order Batter
United Arab Emirates Squad,Vriitya Aravind,"June 11, 2002, Chennai, India",Right hand Bat,,Wicketkeeper
Sri Lanka Squad,Wanindu Hasaranga de Silva,"July 29, 1997, Galle",Right hand Bat,Legbreak,Allrounder
South Africa Squad,Wayne Parnell,"July 30, 1989, Port Elizabeth, Cape Province",Left hand Bat,Left arm Medium fast,Bowler
Zimbabwe squad,Wellington Masakadza,"October 04, 1993, Harare",Left hand Bat,Slow Left arm Orthodox,Bowler
Zimbabwe squad,Wessly Madhevere,"September 04, 2000, Harare",Right hand Bat,Right arm Offbreak,Allrounder
West Indies Squad,Yannic Cariah,"June 22, 1992, Trinidad",Left hand Bat,Legbreak,Bowler
Bangladesh Squad,Yasir Ali,"June 03, 1996, Chittagong",Right hand Bat,Right arm Offbreak,Middle order Batter
India Squad,Yuzvendra Chahal,"July 23, 1990, Jind, Haryana",Right hand Bat,Legbreak Googly,Bowler
United Arab Emirates Squad,Zahoor Khan,"May 25, 1989, Faisalabad, Punjab",Right hand Bat,Right arm Medium fast,Bowler
Namibia Squad,Zane Green,"October 11, 1996, Namibia",Left hand Bat,,Wicketkeeper Batter
United Arab Emirates Squad,Zawar Farid,"July 25, 1992, Sahiwal",Right hand Bat,Right arm Medium,Bowler
