Match,Name,Pos,Inning,Out,Runs,Balls,Fours,Sixes,S.R,Match_ID
Spain vs Isle of Man,Mohammad Yasin,1,1,c Jansen b Clarke,28,29,2,1,96.55,T20I # 1999
Spain vs Isle of Man,Mohammad Ihsan,2,1,c G Burrows b Butler,34,18,4,2,188.88,T20I # 1999
Spain vs Isle of Man,Adam Algar,3,1,c JA Burrows b Butler,28,30,1,1,93.33,T20I # 1999
Spain vs Isle of Man,Doyle-Calle,4,1,not out ,39,19,2,3,205.26,T20I # 1999
Spain vs Isle of Man,Mohammad Kamran,5,1,not out ,6,5,0,0,120.00,T20I # 1999
Isle of Man vs Spain,Adam McAuley,1,1,c Munoz-Mills b Rumistrzewicz,29,31,3,0,93.54,T20I # 2000
Isle of Man vs Spain,Nathan Knights,2,1,c Rumistrzewicz b Atif Mehmood,1,11,0,0,9.09,T20I # 2000
Isle of Man vs Spain,Dollin Jansen,3,1,c Mohammad Kamran b Burns,13,19,2,0,68.42,T20I # 2000
Isle of Man vs Spain,Carl Hartmann,4,1,c Munoz-Mills b Rumistrzewicz,4,4,1,0,100.00,T20I # 2000
Isle of Man vs Spain,Edward Beard,5,1,lbw b Burns,2,3,0,0,66.66,T20I # 2000
Isle of Man vs Spain,Christian Webster,6,1, b Rumistrzewicz,0,1,0,0,0.00,T20I # 2000
Isle of Man vs Spain,Joseph Burrows,7,1,c Rumistrzewicz b Ameer Hamzah,2,3,0,0,66.66,T20I # 2000
Isle of Man vs Spain,Matthew Ansell,8,1,c Doyle-Calle b Burns,1,4,0,0,25.00,T20I # 2000
Isle of Man vs Spain,Jacob Butler,9,1, b Rumistrzewicz,3,5,0,0,60.00,T20I # 2000
Isle of Man vs Spain,Fraser Clarke,10,1, b Mohammad Kamran,3,5,0,0,60.00,T20I # 2000
Isle of Man vs Spain,Edward Walker,11,1,not out ,0,5,0,0,0.00,T20I # 2000
Isle of Man vs Spain,Mohammad Ihsan,1,2,c Butler b Burrows,28,14,4,2,200.00,T20I # 2000
Isle of Man vs Spain,Shafat Ali Syed,2,2,c Knights b Burrows,0,1,0,0,0.00,T20I # 2000
Isle of Man vs Spain,Adam Algar,3,2,not out ,12,20,1,0,60.00,T20I # 2000
Isle of Man vs Spain,Doyle-Calle,4,2,not out ,16,8,3,0,200.00,T20I # 2000
Isle of Man vs Spain,Adam McAuley,1,1, b Mohammad Kamran,6,7,1,0,85.71,T20I # 2001
Isle of Man vs Spain,Nathan Knights,2,1,c Panchal b Mohammad Kamran,0,9,0,0,0.00,T20I # 2001
Isle of Man vs Spain,Dollin Jansen,3,1,c Munoz-Mills b Burns,14,12,2,0,116.66,T20I # 2001
Isle of Man vs Spain,Carl Hartmann,4,1,c Burns b Mohammad Kamran,0,8,0,0,0.00,T20I # 2001
Isle of Man vs Spain,Edward Beard,5,1,c Rumistrzewicz b Mohammad Kamran,33,32,3,1,103.12,T20I # 2001
Isle of Man vs Spain,Christian Webster,6,1, b Burns,10,12,1,0,83.33,T20I # 2001
Isle of Man vs Spain,Joseph Burrows,7,1, b Mohammad Kamran,28,26,5,0,107.69,T20I # 2001
Isle of Man vs Spain,Matthew Ansell,8,1,c & b Robiul Khan,2,3,0,0,66.66,T20I # 2001
Isle of Man vs Spain,Fraser Clarke,9,1,not out ,9,7,0,1,128.57,T20I # 2001
Isle of Man vs Spain,Edward Walker,10,1,not out ,2,4,0,0,50.00,T20I # 2001
Isle of Man vs Spain,Awais Ahmed,1,2,c Jansen b Burrows,0,1,0,0,0.00,T20I # 2001
Isle of Man vs Spain,Mohammad Ihsan,2,2,c Webster b Clarke,28,17,2,2,164.70,T20I # 2001
Isle of Man vs Spain,Ravi Panchal,3,2,c Burrows b Walker,22,22,0,2,100.00,T20I # 2001
Isle of Man vs Spain,Doyle-Calle,4,2,not out ,27,21,0,2,128.57,T20I # 2001
Isle of Man vs Spain,Mohammad Kamran,5,2,c & b Clarke,7,9,0,0,77.77,T20I # 2001
Isle of Man vs Spain,Christian Munoz-Mills,6,2,not out ,30,22,3,1,136.36,T20I # 2001
Panama vs Argentina,Mahmud Jasat,1,1, b Fennell,35,47,2,0,74.46,T20I # 2002
Panama vs Argentina,Mohmad Sohel Patel,2,1,c Ferguson b T Rossi,42,30,3,3,140.00,T20I # 2002
Panama vs Argentina,Sohel Patel,3,1,c S Rossi b T Rossi,22,15,2,0,146.66,T20I # 2002
Panama vs Argentina,Vishal Ahir,4,1, b Husain,0,6,0,0,0.00,T20I # 2002
Panama vs Argentina,Irfan Hafejee,5,1,c Rivero b Husain,0,1,0,0,0.00,T20I # 2002
Panama vs Argentina,Anilkumar Natubhai Ahir,6,1,c Rivero b Arrighi,14,8,1,1,175.00,T20I # 2002
Panama vs Argentina,Rahul Ahir,7,1,not out ,11,7,1,0,157.14,T20I # 2002
Panama vs Argentina,Faizan Patel,8,1,c †Escobar b Fennell,5,5,1,0,100.00,T20I # 2002
Panama vs Argentina,Ahmadi Ravat,9,1,lbw b Fennell,0,1,0,0,0.00,T20I # 2002
Panama vs Argentina,Ahmed Patel,10,1,not out ,0,1,0,0,0.00,T20I # 2002
Panama vs Argentina,Pedro Baron,1,2, b AM Patel,1,3,0,0,33.33,T20I # 2002
Panama vs Argentina,Lautaro Musiani,2,2,c VC Ahir b KB Ahir,2,6,0,0,33.33,T20I # 2002
Panama vs Argentina,Alejandro Ferguson,3,2,c KB Ahir b Sohel Patel,25,39,2,0,64.10,T20I # 2002
Panama vs Argentina,Ramiro Escobar,4,2,st †Natubhai Ahir b Sohel Patel,18,22,1,0,81.81,T20I # 2002
Panama vs Argentina,Alan	Kirschbaum,5,2,lbw b Irfan Hafejee,4,3,0,0,133.33,T20I # 2002
Panama vs Argentina,Tomas Rossi,6,2, b Irfan Hafejee,5,4,0,0,125.00,T20I # 2002
Panama vs Argentina,Santiago Rossi,7,2,st †Natubhai Ahir b RDB Ahir,10,9,0,0,111.11,T20I # 2002
Panama vs Argentina,Agustin Rivero,8,2,lbw b RDB Ahir,3,5,0,0,60.00,T20I # 2002
Panama vs Argentina,Pedro Arrighi,9,2,c Mahmud Jasat b KB Ahir,9,9,0,0,100.00,T20I # 2002
Panama vs Argentina,Hernan Fennell,10,2,c RDB Ahir b KB Ahir,2,3,0,0,66.66,T20I # 2002
Panama vs Argentina,Agustin Husain,11,2,not out ,0,0,0,0,-,T20I # 2002
Bermuda vs Cayman Islands,Kamau Leverock,1,1,st †Sealy b A Wright,48,30,3,3,160.00,T20I # 2003
Bermuda vs Cayman Islands,Tre Manders,2,1,c †Sealy b A Wright,26,20,3,1,130.00,T20I # 2003
Bermuda vs Cayman Islands,Delray Rawlins,3,1,not out ,59,43,4,3,137.20,T20I # 2003
Bermuda vs Cayman Islands,Terryn Fray,4,1,lbw b Manning,21,25,1,0,84.00,T20I # 2003
Bermuda vs Cayman Islands,Malachi Jones,5,1,not out ,2,3,0,0,66.66,T20I # 2003
Bermuda vs Cayman Islands,Sacha De Alwis,1,2,c Burgess b Leverock,4,8,1,0,50.00,T20I # 2003
Bermuda vs Cayman Islands,Omar Willis,2,2,c Jones b Burgess,2,4,0,0,50.00,T20I # 2003
Bermuda vs Cayman Islands,Ramon Sealy,3,2,c Jones b Brangman,14,18,1,1,77.77,T20I # 2003
Bermuda vs Cayman Islands,Patrick Heron,4,2, b Leverock,0,3,0,0,0.00,T20I # 2003
Bermuda vs Cayman Islands,Paul Manning,5,2,lbw b Burgess,5,5,0,0,100.00,T20I # 2003
Bermuda vs Cayman Islands,Alistair Ifill,6,2,c †Smith b Rawlins,25,39,1,0,64.10,T20I # 2003
Bermuda vs Cayman Islands,Conroy Wright,7,2,c Leverock b Jones,6,11,0,0,54.54,T20I # 2003
Bermuda vs Cayman Islands,Demar Johnson,8,2,c Burgess b Brangman,1,4,0,0,25.00,T20I # 2003
Bermuda vs Cayman Islands,Troy Taylor,9,2,c Pitcher b Leverock,11,16,1,0,68.75,T20I # 2003
Bermuda vs Cayman Islands,Adrian Wright,10,2,not out ,3,11,0,0,27.27,T20I # 2003
Bermuda vs Cayman Islands,Thilina Hewa,11,2,not out ,0,1,0,0,0.00,T20I # 2003
Isle of Man vs Spain,Adam McAuley,1,1,st †Mohammad Ihsan b Burns,24,27,3,0,88.88,T20I # 2004
Isle of Man vs Spain,Nathan Knights,2,1, b Atif Mehmood,0,1,0,0,0.00,T20I # 2004
Isle of Man vs Spain,Dollin Jansen,3,1, b Burns,27,32,1,1,84.37,T20I # 2004
Isle of Man vs Spain,Carl Hartmann,4,1,c Munoz-Mills b Shafat Ali Syed,17,19,0,1,89.47,T20I # 2004
Isle of Man vs Spain,Edward Beard,5,1, b Shafat Ali Syed,3,8,0,0,37.50,T20I # 2004
Isle of Man vs Spain,Christian Webster,6,1,c Munoz-Mills b Shafat Ali Syed,41,20,2,4,205.00,T20I # 2004
Isle of Man vs Spain,Joseph Burrows,7,1,c Doyle-Calle b Shafat Ali Syed,0,1,0,0,0.00,T20I # 2004
Isle of Man vs Spain,Jacob Butler,8,1,not out ,8,11,0,0,72.72,T20I # 2004
Isle of Man vs Spain,Fraser Clarke,9,1,c Panchal b Shafat Ali Syed,0,1,0,0,0.00,T20I # 2004
Isle of Man vs Spain,Edward Walker,10,1,not out ,1,1,0,0,100.00,T20I # 2004
Isle of Man vs Spain,Mohammad Ihsan,1,2,c Webster b Butler,45,29,7,1,155.17,T20I # 2004
Isle of Man vs Spain,Shafat Ali Syed,2,2,c Jansen b Clarke,51,23,2,6,221.73,T20I # 2004
Isle of Man vs Spain,Ravi Panchal,3,2,not out ,8,10,1,0,80.00,T20I # 2004
Isle of Man vs Spain,Doyle-Calle,4,2,c Burrows b Butler,8,7,1,0,114.28,T20I # 2004
Isle of Man vs Spain,Lorne Burns,5,2,not out ,9,7,1,0,128.57,T20I # 2004
Isle of Man vs Spain,Adam McAuley,1,1,c †Awais Ahmed b Mohammad Kamran,0,1,0,0,0.00,T20I # 2005
Isle of Man vs Spain,George Burrows,2,1,lbw b Atif Mehmood,2,3,0,0,66.66,T20I # 2005
Isle of Man vs Spain,Luke Ward,3,1, b Mohammad Kamran,2,7,0,0,28.57,T20I # 2005
Isle of Man vs Spain,Carl Hartmann,4,1,c Munoz-Mills b Atif Mehmood,0,3,0,0,0.00,T20I # 2005
Isle of Man vs Spain,Edward Beard,5,1,lbw b Mohammad Kamran,0,1,0,0,0.00,T20I # 2005
Isle of Man vs Spain,Christian Webster,6,1, b Mohammad Kamran,0,1,0,0,0.00,T20I # 2005
Isle of Man vs Spain,Joseph Burrows,7,1,c Doyle-Calle b Atif Mehmood,4,7,0,0,57.14,T20I # 2005
Isle of Man vs Spain,Jacob Butler,8,1, b Atif Mehmood,2,5,0,0,40.00,T20I # 2005
Isle of Man vs Spain,Fraser Clarke,9,1,c †Awais Ahmed b Burns,0,12,0,0,0.00,T20I # 2005
Isle of Man vs Spain,Edward Walker,10,1,not out ,0,9,0,0,0.00,T20I # 2005
Isle of Man vs Spain,Kieran Cawte,11,1,st †Awais Ahmed b Burns,0,3,0,0,0.00,T20I # 2005
Isle of Man vs Spain,Awais Ahmed,1,2,not out ,12,3,0,2,400.00,T20I # 2005
Isle of Man vs Spain,Mohammad Ihsan,2,2,not out ,0,0,0,0,-,T20I # 2005
Panama vs Bahamas,Mahmud Jasat,1,1, b Hinds,10,9,2,0,111.11,T20I # 2006
Panama vs Bahamas,Mohmad Sohel Patel,2,1, b Scott,5,6,1,0,83.33,T20I # 2006
Panama vs Bahamas,Irfan Hafejee,3,1,c †Jemison b Scott,3,5,0,0,60.00,T20I # 2006
Panama vs Bahamas,Sohel Patel,4,1,c GT Taylor b Ekanayake,18,28,2,0,64.28,T20I # 2006
Panama vs Bahamas,Anilkumar Natubhai Ahir,5,1,c †Jemison b Barry,1,5,0,0,20.00,T20I # 2006
Panama vs Bahamas,Rahul Ahir,6,1,c & b Barry,0,2,0,0,0.00,T20I # 2006
Panama vs Bahamas,Huzaifa Patel,7,1, b M Taylor,21,20,2,0,105.00,T20I # 2006
Panama vs Bahamas,Faizan Patel,8,1, b Festus Benn,23,24,2,0,95.83,T20I # 2006
Panama vs Bahamas,Nikunj Ahir,9,1,not out ,15,17,1,0,88.23,T20I # 2006
Panama vs Bahamas,Abdullah Jasat,10,1,c †Jemison b Hinds,0,3,0,0,0.00,T20I # 2006
Panama vs Bahamas,Khengar Bhal Ahir,11,1,not out ,1,1,0,0,100.00,T20I # 2006
Panama vs Bahamas,Marc Taylor,1,2,st †Natubhai Ahir b Sohel Patel,49,32,6,3,153.12,T20I # 2006
Panama vs Bahamas,Narendra Ekanayake,2,2, b RDB Ahir,19,18,3,1,105.55,T20I # 2006
Panama vs Bahamas,Kervon Hinds,3,2,st †Natubhai Ahir b RDB Ahir,4,9,0,0,44.44,T20I # 2006
Panama vs Bahamas,Gregory Taylor,4,2,lbw b Sohel Patel,0,1,0,0,0.00,T20I # 2006
Panama vs Bahamas,Sandeep Goud,5,2,c Irfan Hafejee b RDB Ahir,2,5,0,0,40.00,T20I # 2006
Panama vs Bahamas,Festus Benn,6,2,not out ,11,14,2,0,78.57,T20I # 2006
Panama vs Bahamas,Turan Brown,7,2,lbw b Irfan Hafejee,8,28,0,0,28.57,T20I # 2006
Panama vs Bahamas,Dwight Wheatley,8,2,not out ,2,4,0,0,50.00,T20I # 2006
Bermuda vs Argentina,Kamau Leverock,1,1,c Musiani b Fennell,3,7,0,0,42.85,T20I # 2007
Bermuda vs Argentina,Tre Manders,2,1,c Ferguson b Kirschbaum,74,41,9,4,180.48,T20I # 2007
Bermuda vs Argentina,Terryn Fray,3,1,not out ,62,48,6,2,129.16,T20I # 2007
Bermuda vs Argentina,Delray Rawlins,4,1,not out ,67,25,4,6,268.00,T20I # 2007
Bermuda vs Argentina,Pedro Baron,1,2, b Rawlins,11,10,2,0,110.00,T20I # 2007
Bermuda vs Argentina,Lautaro Musiani,2,2, b Rawlins,0,1,0,0,0.00,T20I # 2007
Bermuda vs Argentina,Alejandro Ferguson,3,2,c Manders b Brangman,32,32,6,0,100.00,T20I # 2007
Bermuda vs Argentina,Ramiro Escobar,4,2, b Jones,14,21,1,0,66.66,T20I # 2007
Bermuda vs Argentina,Alan	Kirschbaum,5,2,st †Smith b Rawlins,10,13,1,0,76.92,T20I # 2007
Bermuda vs Argentina,Tomas Rossi,6,2,c Leverock b Rawlins,2,4,0,0,50.00,T20I # 2007
Bermuda vs Argentina,David Mauro,7,2,not out ,12,14,0,0,85.71,T20I # 2007
Bermuda vs Argentina,Santiago Rossi,8,2, b Jones,0,3,0,0,0.00,T20I # 2007
Bermuda vs Argentina,Agustin Rivero,9,2, b Jones,0,2,0,0,0.00,T20I # 2007
Bermuda vs Argentina,Hernan Fennell,10,2, b Burgess,8,13,1,0,61.53,T20I # 2007
Bermuda vs Argentina,Agustin Husain,11,2,not out ,5,7,1,0,71.42,T20I # 2007
Cayman Islands vs Bahamas,Sacha De Alwis,1,1,c Festus Benn b Hinds,74,57,6,5,129.82,T20I # 2008
Cayman Islands vs Bahamas,Brian Corbin,2,1,c Festus Benn b Hinds,15,14,3,0,107.14,T20I # 2008
Cayman Islands vs Bahamas,Paul Manning,3,1,st †Jemison b M Taylor,17,18,1,0,94.44,T20I # 2008
Cayman Islands vs Bahamas,Ramon Sealy,4,1,c Hinds b Festus Benn,4,5,0,0,80.00,T20I # 2008
Cayman Islands vs Bahamas,Patrick Heron,5,1,c Wheatley b Festus Benn,2,6,0,0,33.33,T20I # 2008
Cayman Islands vs Bahamas,Alistair Ifill,6,1,c M Taylor b Hinds,4,6,0,0,66.66,T20I # 2008
Cayman Islands vs Bahamas,Conroy Wright,7,1,c M Taylor b Ekanayake,4,7,0,0,57.14,T20I # 2008
Cayman Islands vs Bahamas,Troy Taylor,8,1, b Hinds,2,2,0,0,100.00,T20I # 2008
Cayman Islands vs Bahamas,Adrian Wright,9,1, b Hinds,0,3,0,0,0.00,T20I # 2008
Cayman Islands vs Bahamas,Jahmeal Buchanan,10,1,not out ,0,0,0,0,-,T20I # 2008
Cayman Islands vs Bahamas,Thilina Hewa,11,1,c Sandeep Goud b Ekanayake,0,1,0,0,0.00,T20I # 2008
Cayman Islands vs Bahamas,Marc Taylor,1,2,c A Wright b Buchanan,35,37,4,1,94.59,T20I # 2008
Cayman Islands vs Bahamas,Narendra Ekanayake,2,2,c Hewa b Taylor,3,6,0,0,50.00,T20I # 2008
Cayman Islands vs Bahamas,Kervon Hinds,3,2, b Ifill,2,6,0,0,33.33,T20I # 2008
Cayman Islands vs Bahamas,Gregory Taylor,4,2,c †Sealy b A Wright,2,4,0,0,50.00,T20I # 2008
Cayman Islands vs Bahamas,Turan Brown,5,2,lbw b Ifill,0,2,0,0,0.00,T20I # 2008
Cayman Islands vs Bahamas,Festus Benn,6,2,not out ,14,27,0,0,51.85,T20I # 2008
Cayman Islands vs Bahamas,Julio Jemison,7,2,c Manning b Buchanan,0,1,0,0,0.00,T20I # 2008
Cayman Islands vs Bahamas,Sandeep Goud,8,2, b Manning,1,5,0,0,20.00,T20I # 2008
Cayman Islands vs Bahamas,Jonathan Barry,9,2,c Ifill b C Wright,22,25,1,0,88.00,T20I # 2008
Cayman Islands vs Bahamas,Dwight Wheatley,10,2,not out ,1,8,0,0,12.50,T20I # 2008
Bermuda vs Panama,Kamau Leverock,1,1,c M Sohel Patel b Natubhai Ahir,103,58,10,6,177.58,T20I # 2009
Bermuda vs Panama,Tre Manders,2,1,not out ,67,55,3,4,121.81,T20I # 2009
Bermuda vs Panama,Delray Rawlins,3,1,not out ,7,7,1,0,100.00,T20I # 2009
Bermuda vs Panama,Mahmud Jasat,1,2,c sub (JT Darrell) b Burgess,16,17,1,1,94.11,T20I # 2009
Bermuda vs Panama,Mohmad Sohel Patel,2,2, b Leverock,9,7,2,0,128.57,T20I # 2009
Bermuda vs Panama,Sohel Patel,3,2, b Leverock,6,7,1,0,85.71,T20I # 2009
Bermuda vs Panama,Irfan Hafejee,4,2,c Leverock b Pitcher,25,37,3,0,67.56,T20I # 2009
Bermuda vs Panama,Rahul Ahir,5,2,c sub (JT Darrell) b Rawlins,15,15,0,1,100.00,T20I # 2009
Bermuda vs Panama,Anilkumar Natubhai Ahir,6,2,run out (sub [JT Darrell]/†Smith),51,34,2,4,150.00,T20I # 2009
Bermuda vs Panama,Vishal Ahir,7,2,not out ,3,3,0,0,100.00,T20I # 2009
Cayman Islands vs Panama,Sacha De Alwis,1,1,c Mahmud Jasat b KB Ahir,1,3,0,0,33.33,T20I # 2010
Cayman Islands vs Panama,Brian Corbin,2,1,c Sohel Patel b KB Ahir,11,9,2,0,122.22,T20I # 2010
Cayman Islands vs Panama,Paul Manning,3,1, b Irfan Hafejee,20,22,2,0,90.90,T20I # 2010
Cayman Islands vs Panama,Ramon Sealy,4,1,c †HJ Patel b Irfan Hafejee,38,29,3,1,131.03,T20I # 2010
Cayman Islands vs Panama,Alistair Ifill,5,1,c Sohel Patel b Irfan Hafejee,11,15,1,0,73.33,T20I # 2010
Cayman Islands vs Panama,Paul Chin,6,1,run out (Natubhai Ahir),27,25,1,0,108.00,T20I # 2010
Cayman Islands vs Panama,Jahmeal Buchanan,7,1,c RDB Ahir b Abdullah Jasat,10,12,0,0,83.33,T20I # 2010
Cayman Islands vs Panama,Demar Johnson,8,1,not out ,5,6,0,0,83.33,T20I # 2010
Cayman Islands vs Panama,Conroy Wright,9,1,not out ,0,0,0,0,-,T20I # 2010
Cayman Islands vs Panama,Mahmud Jasat,1,2,c & b Ifill,19,25,0,1,76.00,T20I # 2010
Cayman Islands vs Panama,Mohmad Sohel Patel,2,2,c Manning b C Wright,0,1,0,0,0.00,T20I # 2010
Cayman Islands vs Panama,Sohel Patel,3,2, b C Wright,5,8,1,0,62.50,T20I # 2010
Cayman Islands vs Panama,Irfan Hafejee,4,2,c Sealy b Ifill,17,38,1,0,44.73,T20I # 2010
Cayman Islands vs Panama,Vishal Ahir,5,2,c Hewa b Johnson,24,13,1,2,184.61,T20I # 2010
Cayman Islands vs Panama,Anilkumar Natubhai Ahir,6,2,c C Wright b Ifill,19,13,2,1,146.15,T20I # 2010
Cayman Islands vs Panama,Faizan Patel,7,2,c Sealy b C Wright,4,3,1,0,133.33,T20I # 2010
Cayman Islands vs Panama,Rahul Ahir,8,2,run out (Sealy/Johnson),21,10,2,1,210.00,T20I # 2010
Cayman Islands vs Panama,Abdullah Jasat,9,2,run out (Sealy),3,2,0,0,150.00,T20I # 2010
Cayman Islands vs Panama,Huzaifa Patel,10,2,c Manning b Johnson,4,5,0,0,80.00,T20I # 2010
Cayman Islands vs Panama,Khengar Bhal Ahir,11,2,not out ,0,1,0,0,0.00,T20I # 2010
Argentina vs Bahamas,Pedro Baron,1,1,c Sandeep Goud b M Taylor,26,25,3,0,104.00,T20I # 2011
Argentina vs Bahamas,Tomas Rossi,2,1,c Sandeep Goud b Hinds,9,10,1,0,90.00,T20I # 2011
Argentina vs Bahamas,Alejandro Ferguson,3,1,st †Jemison b M Taylor,7,17,0,0,41.17,T20I # 2011
Argentina vs Bahamas,Alan	Kirschbaum,4,1,c & b M Taylor,2,5,0,0,40.00,T20I # 2011
Argentina vs Bahamas,Lautaro Musiani,5,1,not out ,44,34,0,1,129.41,T20I # 2011
Argentina vs Bahamas,Ramiro Escobar,6,1,lbw b Barry,9,19,1,0,47.36,T20I # 2011
Argentina vs Bahamas,Santiago Rossi,7,1,lbw b Barry,0,1,0,0,0.00,T20I # 2011
Argentina vs Bahamas,Agustin Rivero,8,1, b Barry,0,2,0,0,0.00,T20I # 2011
Argentina vs Bahamas,David Mauro,9,1,not out ,5,9,0,0,55.55,T20I # 2011
Argentina vs Bahamas,Marc Taylor,1,2,c †Escobar b T Rossi,2,9,0,0,22.22,T20I # 2011
Argentina vs Bahamas,Narendra Ekanayake,2,2, b Fennell,1,6,0,0,16.66,T20I # 2011
Argentina vs Bahamas,Festus Benn,3,2,c S Rossi b Fennell,4,5,0,0,80.00,T20I # 2011
Argentina vs Bahamas,Dwight Wheatley,4,2, b T Rossi,1,5,0,0,20.00,T20I # 2011
Argentina vs Bahamas,Kervon Hinds,5,2,lbw b Fennell,0,1,0,0,0.00,T20I # 2011
Argentina vs Bahamas,Turan Brown,6,2, b Kirschbaum,7,21,0,0,33.33,T20I # 2011
Argentina vs Bahamas,Gregory Taylor,7,2,c S Rossi b Rivero,19,29,2,0,65.51,T20I # 2011
Argentina vs Bahamas,Sandeep Goud,8,2,c Baron b Kirschbaum,12,16,0,1,75.00,T20I # 2011
Argentina vs Bahamas,Junior Scott,9,2,st †Escobar b Husain,4,5,0,0,80.00,T20I # 2011
Argentina vs Bahamas,Julio Jemison,10,2, b Fennell,7,11,1,0,63.63,T20I # 2011
Argentina vs Bahamas,Jonathan Barry,11,2,not out ,4,9,0,0,44.44,T20I # 2011
Bahamas vs Bermuda,Marc Taylor,1,1,c Pitcher b Darrell,3,14,0,0,21.42,T20I # 2012
Bahamas vs Bermuda,Jonathan Barry,2,1,not out ,30,51,2,0,58.82,T20I # 2012
Bahamas vs Bermuda,Festus Benn,3,1,c Fray b Brangman,0,3,0,0,0.00,T20I # 2012
Bahamas vs Bermuda,Gregory Taylor,4,1,c & b Brangman,0,2,0,0,0.00,T20I # 2012
Bahamas vs Bermuda,Turan Brown,5,1,c Jones b Leverock,3,6,0,0,50.00,T20I # 2012
Bahamas vs Bermuda,Kervon Hinds,6,1,c & b Jones,5,7,0,0,71.42,T20I # 2012
Bahamas vs Bermuda,Julio Jemison,7,1,c & b Rawlins,1,7,0,0,14.28,T20I # 2012
Bahamas vs Bermuda,Sandeep Goud,8,1, b Rawlins,1,4,0,0,25.00,T20I # 2012
Bahamas vs Bermuda,Dwight Wheatley,9,1,c Manders b Brangman,16,11,1,1,145.45,T20I # 2012
Bahamas vs Bermuda,Junior Scott,10,1,lbw b Brangman,0,2,0,0,0.00,T20I # 2012
Bahamas vs Bermuda,Narendra Ekanayake,11,1,not out ,7,13,0,0,53.84,T20I # 2012
Bahamas vs Bermuda,Kamau Leverock,1,2,not out ,48,26,7,2,184.61,T20I # 2012
Bahamas vs Bermuda,Tre Manders,2,2,c M Taylor b Barry,13,13,2,0,100.00,T20I # 2012
Bahamas vs Bermuda,Terryn Fray,3,2,not out ,9,6,2,0,150.00,T20I # 2012
Argentina vs Cayman Islands,Pedro Baron,1,1,lbw b Taylor,18,16,3,0,112.50,T20I # 2013
Argentina vs Cayman Islands,Tomas Rossi,2,1, b Taylor,1,2,0,0,50.00,T20I # 2013
Argentina vs Cayman Islands,Alejandro Ferguson,3,1,c Ifill b C Wright,50,56,6,0,89.28,T20I # 2013
Argentina vs Cayman Islands,Alan	Kirschbaum,4,1, b A Wright,22,20,2,1,110.00,T20I # 2013
Argentina vs Cayman Islands,Lautaro Musiani,5,1,c Taylor b Ifill,7,8,0,0,87.50,T20I # 2013
Argentina vs Cayman Islands,Santiago Rossi,6,1, b Ifill,0,1,0,0,0.00,T20I # 2013
Argentina vs Cayman Islands,Ramiro Escobar,7,1,not out ,12,11,0,0,109.09,T20I # 2013
Argentina vs Cayman Islands,Agustin Rivero,8,1, b Taylor,5,4,0,0,125.00,T20I # 2013
Argentina vs Cayman Islands,Hernan Fennell,9,1,not out ,4,2,1,0,200.00,T20I # 2013
Argentina vs Cayman Islands,Sacha De Alwis,1,2,run out (Rivero/†Escobar),44,41,5,1,107.31,T20I # 2013
Argentina vs Cayman Islands,Brian Corbin,2,2, b T Rossi,11,7,1,1,157.14,T20I # 2013
Argentina vs Cayman Islands,Paul Manning,3,2,run out (Ferguson),31,37,3,1,83.78,T20I # 2013
Argentina vs Cayman Islands,Ramon Sealy,4,2,c Mauro b S Rossi,1,2,0,0,50.00,T20I # 2013
Argentina vs Cayman Islands,Alistair Ifill,5,2, b S Rossi,8,8,1,0,100.00,T20I # 2013
Argentina vs Cayman Islands,Paul Chin,6,2,c Kirschbaum b Fennell,6,13,0,0,46.15,T20I # 2013
Argentina vs Cayman Islands,Demar Johnson,7,2,run out (Rivero/†Escobar),5,6,0,0,83.33,T20I # 2013
Argentina vs Cayman Islands,Troy Taylor,8,2,not out ,2,3,0,0,66.66,T20I # 2013
